Operation,Machine,Coach Variant,Start Time,End Time,Input,Output,Coach Variant Manufactured
Stage XII  Final Inspection and attending of leftover work,UF0900,LWSCZAC (2nd Class AC Chair Car),2022-04-26 01:05:00,2022-04-26 03:35:00,"['Underframe frame work with corrugated sheet', 'Underframe Welding Parts', 'Supporting Members']",['Underframe Complete'],3
Stage VII Robotic Corrugated sheet stitch welding done,UF0610,LWFCZAC (Executive Class AC Chair Car),2022-04-25 21:15:00,2022-04-26 05:10:00,"['Trough Sheets', 'Underframe frame work']",['Underframe frame work with corrugated sheet'],0
Stage-II Final Repair & Leakage testing,SH0120,LWSCZAC (2nd Class AC Chair Car),2022-04-26 03:15:00,2022-04-26 05:40:00,['Shell Assembly'],['Coach'],4
Stage IX Attending of leftover work and rectification of weld defects,UF0700,LWFCZAC (Executive Class AC Chair Car),2022-04-26 01:55:00,2022-04-26 08:45:00,['Underframe frame work with corrugated sheet'],['Underframe frame work with corrugated sheet'],0
Stage VIII Robotic Corrugated sheet seam welding done,UF0620,LWFCZAC (Executive Class AC Chair Car),2022-04-26 05:10:00,2022-04-26 09:50:00,['Underframe frame work with corrugated sheet'],['Underframe frame work with corrugated sheet'],0
Stage XII  Final Inspection and attending of leftover work,UF0900,LWFCZAC (Executive Class AC Chair Car),2022-04-26 08:45:00,2022-04-26 10:50:00,"['Underframe frame work with corrugated sheet', 'Underframe Welding Parts', 'Supporting Members']",['Underframe Complete'],0
Stage-I Robotic Shell AssemblyLine at 22.2.1 (JIG I & II ),SH0110,LWSCZAC (2nd Class AC Chair Car),2022-04-26 03:35:00,2022-04-26 11:10:00,"['Side wall Left complete', 'End wall Complete', 'Roof Complete', 'Underframe Complete']",['Shell Assembly'],4
Stage VII Robotic Corrugated sheet stitch welding done,UF0610,LWFCZAC (Executive Class AC Chair Car),2022-04-26 05:10:00,2022-04-26 13:05:00,"['Trough Sheets', 'Underframe frame work']",['Underframe frame work with corrugated sheet'],0
Stage-II Final Repair & Leakage testing,SH0120,LWSCZAC (2nd Class AC Chair Car),2022-04-26 11:10:00,2022-04-26 13:35:00,['Shell Assembly'],['Coach'],5
Stage IX Attending of leftover work and rectification of weld defects,UF0700,LWFCZAC (Executive Class AC Chair Car),2022-04-26 09:50:00,2022-04-26 16:40:00,['Underframe frame work with corrugated sheet'],['Underframe frame work with corrugated sheet'],0
Stage VIII Robotic Corrugated sheet seam welding done,UF0620,LWFCZAC (Executive Class AC Chair Car),2022-04-26 13:05:00,2022-04-26 17:45:00,['Underframe frame work with corrugated sheet'],['Underframe frame work with corrugated sheet'],0
Stage-I Robotic Shell AssemblyLine at 22.2.1 (JIG I & II ),SH0110,LWFCZAC (Executive Class AC Chair Car),2022-04-26 11:10:00,2022-04-26 18:45:00,"['Side wall Left complete', 'End wall Complete', 'Roof Complete', 'Underframe Complete']",['Shell Assembly'],0
Stage XII  Final Inspection and attending of leftover work,UF0900,LWFCZAC (Executive Class AC Chair Car),2022-04-26 16:40:00,2022-04-26 18:45:00,"['Underframe frame work with corrugated sheet', 'Underframe Welding Parts', 'Supporting Members']",['Underframe Complete'],0
Stage VII Robotic Corrugated sheet stitch welding done,UF0610,LWFCZAC (Executive Class AC Chair Car),2022-04-26 13:05:00,2022-04-26 21:00:00,"['Trough Sheets', 'Underframe frame work']",['Underframe frame work with corrugated sheet'],0
Stage-II Final Repair & Leakage testing,SH0120,LWFCZAC (Executive Class AC Chair Car),2022-04-26 18:45:00,2022-04-26 21:10:00,['Shell Assembly'],['Coach'],1
Stage IX Attending of leftover work and rectification of weld defects,UF0700,LWFCZAC (Executive Class AC Chair Car),2022-04-26 17:45:00,2022-04-27 00:35:00,['Underframe frame work with corrugated sheet'],['Underframe frame work with corrugated sheet'],1
Stage VIII Robotic Corrugated sheet seam welding done,UF0620,LWFCZAC (Executive Class AC Chair Car),2022-04-26 21:00:00,2022-04-27 01:40:00,['Underframe frame work with corrugated sheet'],['Underframe frame work with corrugated sheet'],1
Stage-I Robotic Shell AssemblyLine at 22.2.1 (JIG I & II ),SH0110,LWFCZAC (Executive Class AC Chair Car),2022-04-26 18:45:00,2022-04-27 02:20:00,"['Side wall Left complete', 'End wall Complete', 'Roof Complete', 'Underframe Complete']",['Shell Assembly'],1
Stage XII  Final Inspection and attending of leftover work,UF0900,LWFCZAC (Executive Class AC Chair Car),2022-04-27 00:35:00,2022-04-27 02:40:00,"['Underframe frame work with corrugated sheet', 'Underframe Welding Parts', 'Supporting Members']",['Underframe Complete'],1
Stage-II Final Repair & Leakage testing,SH0120,LWFCZAC (Executive Class AC Chair Car),2022-04-27 02:20:00,2022-04-27 04:45:00,['Shell Assembly'],['Coach'],2
Stage IX Attending of leftover work and rectification of weld defects,UF0700,LWFCZAC (Executive Class AC Chair Car),2022-04-27 01:40:00,2022-04-27 08:30:00,['Underframe frame work with corrugated sheet'],['Underframe frame work with corrugated sheet'],2
Stage-I Robotic Shell AssemblyLine at 22.2.1 (JIG I & II ),SH0110,LWFCZAC (Executive Class AC Chair Car),2022-04-27 02:40:00,2022-04-27 10:15:00,"['Side wall Left complete', 'End wall Complete', 'Roof Complete', 'Underframe Complete']",['Shell Assembly'],2
Stage XII  Final Inspection and attending of leftover work,UF0900,LWFCZAC (Executive Class AC Chair Car),2022-04-27 08:30:00,2022-04-27 10:35:00,"['Underframe frame work with corrugated sheet', 'Underframe Welding Parts', 'Supporting Members']",['Underframe Complete'],2
Stage-II Final Repair & Leakage testing,SH0120,LWFCZAC (Executive Class AC Chair Car),2022-04-27 10:15:00,2022-04-27 12:40:00,['Shell Assembly'],['Coach'],3
Stage-I Robotic Shell AssemblyLine at 22.2.1 (JIG I & II ),SH0110,LWFCZAC (Executive Class AC Chair Car),2022-04-27 10:35:00,2022-04-27 18:10:00,"['Side wall Left complete', 'End wall Complete', 'Roof Complete', 'Underframe Complete']",['Shell Assembly'],3
Stage-II Final Repair & Leakage testing,SH0120,LWFCZAC (Executive Class AC Chair Car),2022-04-27 18:10:00,2022-04-27 20:35:00,['Shell Assembly'],['Coach'],4
